"index","mzmed","rtmed","matched","qSvsMB","qSvsNC","modelPredicted","predictVal","BLANK.A_0","BLANK.A_0.5","BLANK.A_1","BLANK.A_2","BLANK.A_3","BLANK.A_4","BLANK.A_5","BLANK.A_6","BLANK.A_7","BLANK.A_8","BLANK.A_9","BLANK.A_10","BLANK.A_11","BPF.A1_0","BPF.A1_0.5","BPF.A1_1","BPF.A1_2","BPF.A1_3","BPF.A1_4","BPF.A1_5","BPF.A1_6","BPF.A1_7","BPF.A1_8","BPF.A1_9","BPF.A1_10","BPF.A2_0","BPF.A2_0.5","BPF.A2_1","BPF.A2_2","BPF.A2_3","BPF.A2_4","BPF.A2_5","BPF.A2_6","BPF.A2_7","BPF.A2_8","BPF.A2_9","BPF.A2_10","BPF.B_0","BPF.B_0.5","BPF.B_1","BPF.B_2","BPF.B_3","BPF.B_4","BPF.B_5","BPF.B_6","BPF.B_7","BPF.B_8","BPF.B_9","BPF.B_10"
10120,478.88282140096,1.11666666666667,0,1,1,1,0.876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10121,397.146540561569,11.7439252336449,0,1.16436562486446,5.51931940650532e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4488.80224609375,3178.16076660156,3582.74328613281,4188.11389160156,5557.4052734375,3854.94226074219,0,0,0,181.778839111328,0,0,2391.26123046875,2769.54315185547,4441.40234375,5586.30053710938,2928.53857421875,0,0,334.629821777344,0,0,0,0,3639.41796875,3035.33483886719,1965.21716308594,3762.24743652344,2271.43188476562,3101.58288574219,1632.20361328125,1541.85070800781,1254.69482421875,935.107727050781,995.878112792969,1180.45031738281
10122,180.021838910652,1.21212121212121,0,18.6313079434303,0.286298068169566,0,0,0,0,0,0,0,0,0,323.521270751953,326.041656494141,0,0,0,0,0,0,1329.82006835938,952.722351074219,0,0,0,0,0,0,0,0,0,0,1179.01257324219,727.0625,0,0,0,0,0,0,0,0,6326.28173828125,2738.50903320312,3110.18237304688,0,7777.8037109375,4141.8154296875,3985.80151367188,3627.2734375,4060.650390625,0,3251.3935546875,0
10123,162.838234138489,1.74833333333333,0,1,1,1,0.876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10124,162.838197465376,1.85090909090909,0,1,1,1,0.876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10126,160.841338943033,2.44852941176471,0,15.1181007010835,2.26596454589775e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059.15161132812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217.65710449219,2031.47454833984,3216.80493164062,1540.24377441406,0
10128,174.83042134179,1.30833333333333,0,490400606791.178,723365384615.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.734573364258,232.879699707031,0,0,168.866455078125
10132,59.0141912225175,1.88493150684932,0,69123481648763,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6835.4912109375,7282.87255859375,6984.7900390625,7510.7685546875,9175.703125,8641.90234375,7562.11499023438,5281.99584960938,5991.59350585938,5344.87109375,5769.38330078125,6566.69140625
10133,568.854818838614,1.14074074074074,0,8.37716254716998,3.1388729525814e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764.605651855469,0,0,0,0,0,0,0,0,0,0,0,1612.50183105469,0,0,1590.11108398438,0,0,0,0,0,0,0
10134,187.861393955776,1.34,0,1.73011638937202e-12,1.30330740973679,0,0,0,0,0,0,0,0,0,0,0,0,0,585.60693359375,393.691131591797,0,0,0,0,0,0,0,0,0,0,0,894.869689941406,0,0,0,0,0,0,0,0,0,0,492.320220947266,0,0,0,0,0,0,0,0,0,0,0,0,0
